Code,Category,Year,Emissions
CYM,6B,1970,0.0477534363
CYM,6C,1970,0.00238089
DMA,1A1a,1970,0.00035619349999999994
DMA,1A1bc,1970,
DMA,1A2,1970,0.0086537983
DMA,1A3a,1970,
DMA,1A3b,1970,0.001378829391
DMA,1A3d,1970,
DMA,1A3e,1970,
DMA,1A4,1970,0.005578354584000001
DMA,1B1,1970,0.00454897
DMA,1B2,1970,0.007065210233
DMA,4A,1970,0.232666
DMA,4B,1970,0.012031185499999998
DMA,4F,1970,0.0016961453
DMA,6A,1970,0.225675
DMA,6B,1970,0.3636288369999999
DMA,6C,1970,0.00257996
DOM,1A1a,1970,0.08197548499999999
DOM,1A1bc,1970,
DOM,1A2,1970,0.64752
DOM,1A3b,1970,0.3481432897
DOM,1A3e,1970,0.00012
DOM,1A4,1970,5.222907999999999
DOM,1B1,1970,16.9793
DOM,1B2,1970,
DOM,4A,1970,71.9315
DOM,4B,1970,2.543549100000001
DOM,4C,1970,44.843689999999995
DOM,4F,1970,2.590035384
DOM,6A,1970,15.5832
DOM,6B,1970,27.074829999999995
DOM,6C,1970,0.264496
GLP,1A1a,1970,0.008537835
GLP,1A1bc,1970,
GLP,1A2,1970,0.0385107162
GLP,1A3a,1970,
GLP,1A3b,1970,0.0090437329
GLP,1A3d,1970,
GLP,1A3e,1970,
GLP,1A4,1970,0.14664547339999998
GLP,1B1,1970,0.025037
GLP,1B2,1970,0.12890881497
GLP,4A,1970,4.143285
GLP,4B,1970,0.105261986
GLP,4F,1970,0.5014613283
GLP,6A,1970,2.96027
GLP,6B,1970,2.2426321060000003
GLP,6C,1970,0.0304675
GRD,1A1a,1970,0.00046480242
GRD,1A1bc,1970,
GRD,1A2,1970,0.0105015042
GRD,1A3a,1970,
GRD,1A3b,1970,0.0018311664549999999
GRD,1A3d,1970,
GRD,1A3e,1970,
GRD,1A4,1970,0.009660202960000001
GRD,1B1,1970,0.0146638
GRD,1B2,1970,0.012262779391000001
GRD,4A,1970,0.46768999999999994
GRD,4B,1970,0.014344081000000002
GRD,4F,1970,0.0057282096999999995
GRD,6A,1970,0.234336
GRD,6B,1970,0.453747944
GRD,6C,1970,0.00645832
GTM,1A1a,1970,0.025647098
GTM,1A1bc,1970,0.00248817
GTM,1A2,1970,0.47654399999999997
GTM,1A3b,1970,0.17957285
GTM,1A3e,1970,
GTM,1A4,1970,17.40776645
GTM,1B1,1970,7.2927
GTM,1B2,1970,0.21741216000000002
GTM,4A,1970,87.93862699999998
GTM,4B,1970,2.8159796000000004
GTM,4C,1970,2.3449510000000005
GTM,4F,1970,1.4424671550000001
GTM,6A,1970,4.82746
GTM,6B,1970,27.8924302
GTM,6C,1970,0.182351
HND,1A1a,1970,0.005457
HND,1A1bc,1970,0.002581
HND,1A2,1970,0.170454
HND,1A3b,1970,0.08514208509999999
HND,1A4,1970,10.74336195
HND,1B1,1970,0.5698
HND,1B2,1970,0.15206566000000002
HND,4A,1970,85.03142500000001
HND,4B,1970,2.9902076660000008
HND,4C,1970,2.3242
HND,4F,1970,0.6989350060000001
HND,6A,1970,1.68126
HND,6B,1970,13.696278050000002
HND,6C,1970,0.111986
HTI,1A1a,1970,0.004758
HTI,1A1bc,1970,0.000129
HTI,1A2,1970,0.16680899999999999
HTI,1A3b,1970,0.0214073
HTI,1A3e,1970,0.002727
HTI,1A4,1970,12.212846050000001
HTI,1B1,1970,24.5014
HTI,4A,1970,66.2185
HTI,4B,1970,3.4894552999999995
HTI,4C,1970,7.885679
HTI,4F,1970,1.3728056100000003
HTI,6A,1970,6.64055
HTI,6B,1970,25.595107531999997
HTI,6C,1970,0.13335
JAM,1A1a,1970,0.29650603400000003
JAM,1A1bc,1970,0.0033076399999999997
JAM,1A2,1970,0.07596
JAM,1A3a,1970,0.000112
JAM,1A3b,1970,0.30347985
JAM,1A3c,1970,0.0113461
JAM,1A3e,1970,
JAM,1A4,1970,0.197165
JAM,1B1,1970,1.7094
JAM,1B2,1970,0.45414561000000003
JAM,4A,1970,18.27608
JAM,4B,1970,0.6227137800000001
JAM,4C,1970,0.08404473
JAM,4F,1970,1.1284782210000002
JAM,6A,1970,6.51341
JAM,6B,1970,10.49106349
JAM,6C,1970,0.0326305
KNA,1A1a,1970,0.00036636409
KNA,1A1bc,1970,
KNA,1A2,1970,0.005079912859999999
KNA,1A3a,1970,
KNA,1A3b,1970,0.0012683306299999999
KNA,1A3d,1970,
KNA,1A3e,1970,
KNA,1A4,1970,0.025289509159999994
KNA,1B1,1970,0.000994697
KNA,1B2,1970,0.013374130437
KNA,4A,1970,0.42658300000000005
KNA,4B,1970,0.010428899
KNA,4F,1970,0.08930228188000001
KNA,6A,1970,0.12035
KNA,6B,1970,0.3112222484
KNA,6C,1970,0.00331705
LCA,1A1a,1970,0.0009301272999999999
LCA,1A1bc,1970,
LCA,1A2,1970,0.0138746043
LCA,1A3a,1970,
LCA,1A3b,1970,0.00294148376
LCA,1A3d,1970,
LCA,1A3e,1970,
LCA,1A4,1970,0.02749145884
LCA,1B1,1970,0.00638672
LCA,1B2,1970,0.02973313985
LCA,4A,1970,0.6267025
LCA,4B,1970,0.025295002
LCA,4F,1970,0.0033450089
LCA,6A,1970,0.175735
LCA,6B,1970,0.5652436329999999
LCA,6C,1970,0.00938212
MSR,1A1a,1970,0.00010299172999999999
MSR,1A1bc,1970,
MSR,1A2,1970,0.00140292174
MSR,1A3a,1970,
MSR,1A3b,1970,0.000328392665
MSR,1A3d,1970,
MSR,1A3e,1970,
MSR,1A4,1970,0.0037113192130000003
MSR,1B1,1970,0.00027462
MSR,1B2,1970,0.004461183493000001
MSR,4A,1970,0.432701
MSR,4B,1970,0.011592001
MSR,4F,1970,9.676157999999999e-06
MSR,6A,1970,0.00808289
MSR,6B,1970,0.07045975112000001
MSR,6C,1970,6.28596e-05
MTQ,1A1a,1970,0.0129933967
MTQ,1A1bc,1970,
MTQ,1A2,1970,0.038896343400000005
MTQ,1A3a,1970,
MTQ,1A3b,1970,0.009199078999999999
MTQ,1A3d,1970,
MTQ,1A3e,1970,
MTQ,1A4,1970,0.0908741118
MTQ,1B1,1970,0.0263516
MTQ,1B2,1970,0.16826037889999998
MTQ,4A,1970,2.766681
MTQ,4B,1970,0.09356903999999999
MTQ,4F,1970,0.132937715
MTQ,6A,1970,1.97291
MTQ,6B,1970,1.76239788
MTQ,6C,1970,0.0350179
NIC,1A1a,1970,0.013930003
NIC,1A1bc,1970,0.000944063
NIC,1A2,1970,0.20611490000000002
NIC,1A3a,1970,0.0001569998
NIC,1A3b,1970,0.1132683797
NIC,1A3d,1970,0.00182
NIC,1A4,1970,6.465433000000001
NIC,1B1,1970,1.48
NIC,1B2,1970,0.12617330999999998
NIC,4A,1970,150.24525
NIC,4B,1970,3.9410621089999998
NIC,4C,1970,5.250198999999999
NIC,4F,1970,0.8398483680000001
NIC,6A,1970,2.96759
NIC,6B,1970,12.540914830999998
NIC,6C,1970,0.080412
PAN,1A1a,1970,0.0193594676
PAN,1A1bc,1970,0.006533942899999999
PAN,1A2,1970,0.07553199999999999
PAN,1A3b,1970,0.28584705699999996
PAN,1A3e,1970,
PAN,1A4,1970,3.432255
PAN,1B1,1970,0.1147
PAN,1B2,1970,1.0867925999999999
PAN,4A,1970,72.75650999999999
PAN,4B,1970,1.6853349
PAN,4C,1970,19.319893999999998
PAN,4F,1970,0.541515392
PAN,6A,1970,1.91281
PAN,6B,1970,8.37282027
PAN,6C,1970,0.000521648
PRI,1A3b,1970,0.00404404353
PRI,1A4,1970,0.0404718
PRI,4A,1970,31.920830999999996
PRI,4B,1970,0.8255547999999999
PRI,4C,1970,0.14526237999999997
PRI,4F,1970,1.4482177170000001
PRI,6A,1970,15.3926
PRI,6B,1970,14.6215188
PRI,6C,1970,0.6426
SLV,1A1a,1970,0.0018328
SLV,1A1bc,1970,0.0010116
SLV,1A2,1970,0.16310054999999996
SLV,1A3b,1970,0.11483985421
SLV,1A3e,1970,0.000603
SLV,1A4,1970,13.673829999999999
SLV,1B1,1970,0.4551
SLV,1B2,1970,0.12925443
SLV,4A,1970,65.0359
SLV,4B,1970,2.2025357999999997
SLV,4C,1970,2.469459
SLV,4F,1970,0.8392597841999999
SLV,6A,1970,3.46426
SLV,6B,1970,18.317007049999994
SLV,6C,1970,0.48354
TCA,1A1a,1970,1.4539172000000001e-05
TCA,1A2,1970,0.00087314675
TCA,1A3a,1970,
TCA,1A3b,1970,0.000159138355
TCA,1A3d,1970,
TCA,1A3e,1970,
TCA,1A4,1970,6.312968765e-06
TCA,1B1,1970,0.000412143
TCA,1B2,1970,
TCA,6A,1970,0.026411
TCA,6B,1970,0.017018588299999998
TCA,6C,1970,3.04432e-05
TTO,1A1a,1970,0.0731599
TTO,1A1bc,1970,0.09054298999999999
TTO,1A2,1970,0.005416000000000001
TTO,1A3a,1970,4.500005e-05
TTO,1A3b,1970,0.23205622799999998
TTO,1A3e,1970,
TTO,1A4,1970,0.21879
TTO,1B1,1970,0.1147
TTO,1B2,1970,118.2310534
TTO,2B,1970,0.32209
TTO,4A,1970,4.09633
TTO,4B,1970,0.16893002
TTO,4C,1970,0.7761161000000001
TTO,4F,1970,0.7088013642000001
TTO,6A,1970,0.687494
